exchange,symbol,price,timestamp,bid,ask,volume
Coinbase,BTC-USD,109880.48,2025-11-01 22:05:16.874573+00:00,109880.47,109880.48,1679.54655237
Coinbase,BTC-USD,109880.47,2025-11-01 22:05:19.998291+00:00,109880.47,109880.48,1679.54864967
Coinbase,BTC-USD,109880.47,2025-11-01 22:05:21.008293+00:00,109880.47,109880.48,1679.54877835
Binance,BTC-USD,110164.82,2025-11-01 22:05:20.950000+00:00,109858.01,110164.32,2.49779
Bitstamp,BTC-USD,109869.0,2025-11-01 22:05:21+00:00,0.0,0.0,0.02152
Coinbase,BTC-USD,109880.47,2025-11-01 22:05:21.758123+00:00,109880.47,109880.48,1679.54884242
Binance,BTC-USD,110164.82,2025-11-01 22:05:21.951000+00:00,109858.01,110164.3,2.49779
Binance,BTC-USD,110164.82,2025-11-01 22:05:22.852000+00:00,109858.01,110164.24,2.49779
Bitstamp,BTC-USD,109869.0,2025-11-01 22:05:23+00:00,0.0,0.0,0.00044
Coinbase,BTC-USD,109880.48,2025-11-01 22:05:23.515087+00:00,109880.47,109884.59,1679.54884462
Binance,BTC-USD,110164.82,2025-11-01 22:05:23.752000+00:00,109858.01,110164.2,2.49779
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.58,109884.59,1679.68392462
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.58,109884.59,1679.75670963
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.58,109884.59,1679.78180335
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.58,109884.59,1679.78362344
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.58,109884.59,1679.78365126
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.58,109884.59,1679.81210617
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.58,109884.59,1679.84201086
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:24.501812+00:00,109884.56,109884.59,1679.84487686
Coinbase,BTC-USD,109884.56,2025-11-01 22:05:24.501812+00:00,109884.03,109884.59,1679.86418803
Coinbase,BTC-USD,109884.03,2025-11-01 22:05:24.501812+00:00,109884.01,109884.59,1679.87328853
Coinbase,BTC-USD,109884.01,2025-11-01 22:05:24.501812+00:00,109884.01,109884.59,1679.91652171
Binance,BTC-USD,110164.82,2025-11-01 22:05:24.996000+00:00,109858.01,110164.18,2.49779
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:25.810685+00:00,109884.58,109884.59,1679.91673749
Binance,BTC-USD,110164.82,2025-11-01 22:05:25.954000+00:00,109858.01,110164.15,2.49779
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:26.279520+00:00,109884.58,109884.59,1679.91686306
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:26.279520+00:00,109884.58,109884.59,1679.91720441
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:26.279520+00:00,109884.58,109884.59,1679.91762186
Bitstamp,BTC-USD,109877.0,2025-11-01 22:05:26+00:00,0.0,0.0,0.00806
Binance,BTC-USD,110164.82,2025-11-01 22:05:26.707000+00:00,109858.01,110164.13,2.49779
Bitstamp,BTC-USD,109877.0,2025-11-01 22:05:27+00:00,0.0,0.0,0.00017871
Bitstamp,BTC-USD,109877.0,2025-11-01 22:05:27+00:00,0.0,0.0,0.00044673
Bitstamp,BTC-USD,109877.0,2025-11-01 22:05:27+00:00,0.0,0.0,9.01e-06
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:27.627390+00:00,109884.58,109884.59,1679.91805341
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:27.696743+00:00,109884.58,109884.59,1679.91808091
Binance,BTC-USD,110164.82,2025-11-01 22:05:27.755000+00:00,109858.01,110164.11,2.49779
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:28.126898+00:00,109884.58,109884.59,1679.92073397
Binance,BTC-USD,110164.82,2025-11-01 22:05:28.856000+00:00,109858.01,110164.09,2.49779
Coinbase,BTC-USD,109884.58,2025-11-01 22:05:29.315348+00:00,109884.58,109884.59,1679.92075435
Bitstamp,BTC-USD,109877.0,2025-11-01 22:05:29+00:00,0.0,0.0,4.55e-05
Binance,BTC-USD,110164.82,2025-11-01 22:05:29.955000+00:00,109858.01,110164.07,2.49779
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:30.622842+00:00,109884.58,109884.59,1679.9211859
Binance,BTC-USD,110164.82,2025-11-01 22:05:30.961000+00:00,109858.01,110164.04,2.49779
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:31.583966+00:00,109884.58,109884.59,1679.92518859
Coinbase,BTC-USD,109884.59,2025-11-01 22:05:31.583966+00:00,109884.58,109886.55,1679.92520571
Coinbase,BTC-USD,109886.55,2025-11-01 22:05:31.583966+00:00,109884.58,109887.12,1679.92543328
Coinbase,BTC-USD,109887.12,2025-11-01 22:05:31.583966+00:00,109884.58,109889.3,1679.92544428
