exchange,symbol,price,timestamp,bid,ask,volume
Coinbase,BTC-USD,109995.65,2025-11-01 23:14:58.455211+00:00,109995.64,109995.65,1676.24603515
Coinbase,BTC-USD,109999.1,2025-11-01 23:14:59.859988+00:00,109999.09,109999.1,1676.2468722
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:00.307809+00:00,109999.99,110000.0,1676.25137247
Binance,BTC-USD,110244.07,2025-11-01 23:15:00.411000+00:00,109914.71,110243.72,2.43741
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:01.170419+00:00,109999.99,110000.0,1676.25142401
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:01.295623+00:00,109999.99,110000.0,1676.25143725
Binance,BTC-USD,110244.07,2025-11-01 23:15:01.416000+00:00,109914.72,110243.61,2.43741
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:01.501818+00:00,109999.99,110000.0,1676.2523722
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:01.501818+00:00,109999.99,110000.0,1676.25256953
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:01.501818+00:00,109999.99,110000.0,1676.25752085
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:01.908460+00:00,109999.99,110000.0,1676.25977088
Binance,BTC-USD,110244.07,2025-11-01 23:15:02.428000+00:00,109914.75,110243.58,2.43741
Binance,BTC-USD,110244.07,2025-11-01 23:15:03.300000+00:00,109914.75,110243.56,2.43741
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:04.244036+00:00,109999.99,110000.0,1676.25985926
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:04.341565+00:00,109999.99,110000.0,1676.25990201
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:04.341658+00:00,109999.99,110000.0,1676.2659338
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:04.341658+00:00,109999.99,110001.64,1676.26601323
Coinbase,BTC-USD,110001.64,2025-11-01 23:15:04.341658+00:00,109999.99,110001.65,1676.26603681
Coinbase,BTC-USD,110001.65,2025-11-01 23:15:04.341658+00:00,109999.99,110001.65,1676.2694824
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:04.417565+00:00,110002.99,110003.0,1676.26992415
Binance,BTC-USD,110244.07,2025-11-01 23:15:04.401000+00:00,109914.75,110243.48,2.43741
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:04.855748+00:00,110002.99,110003.0,1676.27023339
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:04.859381+00:00,110002.99,110003.0,1676.27041006
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:05.043808+00:00,110002.99,110003.0,1676.27086006
Binance,BTC-USD,110243.51,2025-11-01 23:15:05.402000+00:00,109914.77,110243.51,2.43764
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:06.369379+00:00,110002.99,110003.0,1676.27103251
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:06.427850+00:00,110002.99,110003.0,1676.27201714
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:06.427850+00:00,110002.99,110003.0,1676.27292942
Binance,BTC-USD,110243.51,2025-11-01 23:15:06.401000+00:00,109914.79,110243.5,2.43764
Coinbase,BTC-USD,110003.0,2025-11-01 23:15:07.104890+00:00,110002.99,110003.08,1676.27310694
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:07.104890+00:00,110002.99,110003.08,1676.27337114
Bitstamp,BTC-USD,109993.0,2025-11-01 23:15:07+00:00,0.0,0.0,0.00533
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:07.191449+00:00,110003.07,110003.08,1676.27517114
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:07.298132+00:00,110003.07,110003.08,1676.27561286
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:07.349670+00:00,110003.07,110003.08,1676.27606286
Bitstamp,BTC-USD,109993.0,2025-11-01 23:15:07+00:00,0.0,0.0,0.00065
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:07.461520+00:00,110003.07,110003.08,1676.27738802
Binance,BTC-USD,110243.51,2025-11-01 23:15:07.528000+00:00,109914.79,110243.49,2.43764
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:07.558522+00:00,110003.07,110003.08,1676.27756469
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:07.749067+00:00,110003.07,110003.08,1676.28656518
Coinbase,BTC-USD,110002.0,2025-11-01 23:15:07.933564+00:00,110001.99,110002.0,1676.2870069
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:08.166585+00:00,110000.24,110003.08,1676.28766948
Coinbase,BTC-USD,110002.0,2025-11-01 23:15:08.343551+00:00,110000.3,110002.0,1676.28775723
Binance,BTC-USD,110243.51,2025-11-01 23:15:08.358000+00:00,109914.79,110243.45,2.43764
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:08.655592+00:00,110003.07,110003.08,1676.28864067
Coinbase,BTC-USD,110003.07,2025-11-01 23:15:09.210577+00:00,110003.07,110003.08,1676.29590349
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:09.236720+00:00,110003.07,110003.08,1676.29599349
Binance,BTC-USD,110243.51,2025-11-01 23:15:09.405000+00:00,109914.79,110243.43,2.43764
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:09.699187+00:00,110003.07,110003.08,1676.29908053
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:09.699187+00:00,110003.07,110003.08,1676.30049344
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:09.719038+00:00,110003.07,110003.08,1676.30115602
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:09.992918+00:00,110003.07,110003.08,1676.30133269
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:10.118234+00:00,110003.07,110003.08,1676.30144294
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:10.260503+00:00,110003.07,110003.08,1676.30162294
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:10.337195+00:00,110003.07,110003.08,1676.30206466
Binance,BTC-USD,110243.51,2025-11-01 23:15:10.532000+00:00,109914.79,110243.37,2.43764
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:10.979893+00:00,110003.07,110003.08,1676.30224133
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.098695+00:00,110003.07,110003.08,1676.30224997
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.198942+00:00,110003.07,110003.08,1676.30354336
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.212900+00:00,110003.07,110003.08,1676.30362958
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.234119+00:00,110003.07,110003.08,1676.30367458
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.237253+00:00,110003.07,110003.08,1676.30453687
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.249810+00:00,110003.07,110003.08,1676.30470931
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.357047+00:00,110003.07,110003.08,1676.30838053
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.357047+00:00,110003.07,110003.08,1676.30995082
Coinbase,BTC-USD,110003.08,2025-11-01 23:15:11.357047+00:00,110003.07,110003.08,1676.31796045
Coinbase,BTC-USD,110003.07,2025-11-01 23:15:11.439395+00:00,110003.07,110003.08,1676.31798561
Coinbase,BTC-USD,110003.07,2025-11-01 23:15:11.439395+00:00,110000.0,110003.08,1676.3906963
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:11.484669+00:00,109999.99,110000.0,1676.3909213
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:11.543635+00:00,109999.99,110000.0,1676.39100905
Binance,BTC-USD,110243.51,2025-11-01 23:15:11.532000+00:00,109914.8,110243.32,2.43764
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:11.701580+00:00,109999.99,110000.0,1676.39105216
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:11.822506+00:00,109999.99,110000.0,1676.3912246
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:11.843255+00:00,109999.99,110000.0,1676.39131235
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:11.938726+00:00,109999.99,110000.0,1676.39131334
Coinbase,BTC-USD,110000.0,2025-11-01 23:15:12.202569+00:00,109999.99,110000.0,1676.39176334
Coinbase,BTC-USD,109999.99,2025-11-01 23:15:12.289404+00:00,109999.99,110000.0,1676.40249854
Coinbase,BTC-USD,109999.99,2025-11-01 23:15:12.289404+00:00,109999.99,110000.0,1676.44717097
Coinbase,BTC-USD,109999.99,2025-11-01 23:15:12.289689+00:00,109998.37,110000.0,1676.47521324
Coinbase,BTC-USD,109998.37,2025-11-01 23:15:12.293124+00:00,109995.99,110000.0,1676.4788496
Coinbase,BTC-USD,109995.99,2025-11-01 23:15:12.301797+00:00,109993.09,109996.0,1676.47954767
Coinbase,BTC-USD,109993.57,2025-11-01 23:15:12.450187+00:00,109993.56,109993.57,1676.47976852
Binance,BTC-USD,110243.51,2025-11-01 23:15:12.643000+00:00,109914.8,110243.31,2.43764
Coinbase,BTC-USD,109993.57,2025-11-01 23:15:12.702168+00:00,109993.56,109993.57,1676.47985852
Coinbase,BTC-USD,109993.57,2025-11-01 23:15:12.902448+00:00,109993.56,109993.57,1676.48074194
Coinbase,BTC-USD,109993.56,2025-11-01 23:15:12.948555+00:00,109993.45,109993.57,1676.48078845
Coinbase,BTC-USD,109993.45,2025-11-01 23:15:12.948555+00:00,109993.45,109993.57,1676.48082958
Coinbase,BTC-USD,109993.47,2025-11-01 23:15:12.989703+00:00,109993.46,109993.47,1676.48127958
Coinbase,BTC-USD,109993.47,2025-11-01 23:15:13.491387+00:00,109993.46,109993.47,1676.482163
Coinbase,BTC-USD,109993.47,2025-11-01 23:15:13.625575+00:00,109993.46,109993.47,1676.49099715
Binance,BTC-USD,110243.51,2025-11-01 23:15:13.608000+00:00,109914.81,110243.3,2.43764
Coinbase,BTC-USD,109993.46,2025-11-01 23:15:14.006946+00:00,109993.1,109993.47,1676.49104403
Coinbase,BTC-USD,109993.1,2025-11-01 23:15:14.006946+00:00,109993.1,109993.47,1676.49186511
Coinbase,BTC-USD,109993.11,2025-11-01 23:15:14.376047+00:00,109993.1,109993.11,1676.49203764
Binance,BTC-USD,110243.51,2025-11-01 23:15:14.508000+00:00,109914.81,110243.23,2.43764
Coinbase,BTC-USD,109993.1,2025-11-01 23:15:15.479100+00:00,109993.1,109993.11,1676.49864256
Coinbase,BTC-USD,109993.1,2025-11-01 23:15:15.479100+00:00,109990.0,109993.11,1676.49868883
Binance,BTC-USD,110243.51,2025-11-01 23:15:15.508000+00:00,109914.83,110243.21,2.43764
Coinbase,BTC-USD,109990.0,2025-11-01 23:15:16.528105+00:00,109990.0,109990.01,1676.49870103
Coinbase,BTC-USD,109990.0,2025-11-01 23:15:16.528105+00:00,109990.0,109990.01,1676.5405431
Coinbase,BTC-USD,109990.01,2025-11-01 23:15:16.559655+00:00,109990.0,109990.01,1676.54142654
Binance,BTC-USD,110243.51,2025-11-01 23:15:16.310000+00:00,109914.83,110243.15,2.43764
Coinbase,BTC-USD,109990.01,2025-11-01 23:15:17.640114+00:00,109990.0,109990.01,1676.54151492
Binance,BTC-USD,110243.51,2025-11-01 23:15:17.622000+00:00,109914.84,110243.08,2.43764
Coinbase,BTC-USD,109996.76,2025-11-01 23:15:18.609444+00:00,109996.76,109997.26,1676.54155551
Binance,BTC-USD,110243.51,2025-11-01 23:15:18.424000+00:00,109914.84,110243.02,2.43764
