2025-11-02 00:51:27.948 | INFO     | __main__:run:51 - ============================================================
2025-11-02 00:51:27.949 | INFO     | __main__:run:52 - 🚀 CRYPTO ARBITRAGE MONITOR
2025-11-02 00:51:27.949 | INFO     | __main__:run:53 - ============================================================
2025-11-02 00:51:27.949 | INFO     | __main__:run:56 - 🧠 Loading ML models...
2025-11-02 00:51:27.953 | WARNING  | ml_predictor:load:257 - Loading model from legacy object format. Consider retraining for consistency.
2025-11-02 00:51:27.953 | SUCCESS  | ml_predictor:load:265 - Spread predictor loaded from models/spread_predictor_live.pkl
2025-11-02 00:51:27.969 | WARNING  | ml_predictor:load:366 - Loading scorer from legacy object format. Consider retraining for consistency.
2025-11-02 00:51:27.970 | SUCCESS  | ml_predictor:load:372 - Opportunity scorer loaded from models/opportunity_scorer_live.pkl
2025-11-02 00:51:27.970 | INFO     | __main__:run:63 - Monitoring exchanges: Coinbase, Binance, Bitstamp
2025-11-02 00:51:27.970 | INFO     | __main__:run:64 - Trading pairs: BTC-USD, ETH-USD, SOL-USD
2025-11-02 00:51:27.970 | INFO     | __main__:run:65 - ============================================================
2025-11-02 00:51:27.970 | INFO     | __main__:run:66 - ✅ System ready. Dashboard running at: http://localhost:8050
2025-11-02 00:51:29.979 | INFO     | __main__:run_data_collection:35 - Starting data collection and arbitrage detection...
2025-11-02 00:51:29.980 | INFO     | data_ingestion:start:224 - Starting multi-exchange aggregator...
2025-11-02 00:51:30.174 | INFO     | data_ingestion:connect:25 - Connected to Bitstamp
2025-11-02 00:51:30.175 | INFO     | data_ingestion:subscribe:177 - Subscribed to Bitstamp symbols: ['btcusd', 'ethusd', 'solusd']
2025-11-02 00:51:30.526 | INFO     | data_ingestion:connect:25 - Connected to Coinbase
2025-11-02 00:51:30.526 | INFO     | data_ingestion:subscribe:95 - Subscribed to Coinbase symbols: ['BTC-USD', 'ETH-USD', 'SOL-USD']
2025-11-02 00:51:30.899 | INFO     | data_ingestion:connect:131 - Connected to Binance
2025-11-02 00:51:30.911 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Coinbase @ $109945.53, Sell on Binance @ $109878.37 | Profit: -0.76%
2025-11-02 00:51:30.911 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Binance @ $110119.74, Sell on Coinbase @ $109945.50 | Profit: -0.86%
2025-11-02 00:51:31.254 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Coinbase @ $3865.42, Sell on Binance @ $3867.40 | Profit: -0.65%
2025-11-02 00:51:31.254 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Binance @ $3869.51, Sell on Coinbase @ $3865.18 | Profit: -0.81%
2025-11-02 00:51:31.886 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Coinbase @ $109945.53, Sell on Binance @ $109878.37 | Profit: -0.76%
2025-11-02 00:51:31.887 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Binance @ $110119.74, Sell on Coinbase @ $109945.51 | Profit: -0.86%
2025-11-02 00:51:31.887 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Coinbase @ $109945.53, Sell on Binance @ $109878.37 | Profit: -0.76%
2025-11-02 00:51:31.887 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Binance @ $110119.74, Sell on Coinbase @ $109945.51 | Profit: -0.86%
2025-11-02 00:51:31.912 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Coinbase @ $109945.53, Sell on Binance @ $109878.38 | Profit: -0.76%
2025-11-02 00:51:31.912 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Binance @ $110119.72, Sell on Coinbase @ $109945.51 | Profit: -0.86%
2025-11-02 00:51:32.301 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Coinbase @ $3865.24, Sell on Binance @ $3867.40 | Profit: -0.64%
2025-11-02 00:51:32.302 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Binance @ $3869.51, Sell on Coinbase @ $3865.23 | Profit: -0.81%
2025-11-02 00:51:32.520 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Coinbase @ $3865.24, Sell on Binance @ $3867.40 | Profit: -0.64%
2025-11-02 00:51:32.521 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Binance @ $3869.51, Sell on Coinbase @ $3865.23 | Profit: -0.81%
2025-11-02 00:51:32.521 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Coinbase @ $3865.44, Sell on Binance @ $3867.40 | Profit: -0.65%
2025-11-02 00:51:32.521 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Binance @ $3869.51, Sell on Coinbase @ $3865.23 | Profit: -0.81%
2025-11-02 00:51:32.522 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Coinbase @ $3865.44, Sell on Binance @ $3867.40 | Profit: -0.65%
2025-11-02 00:51:32.522 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Binance @ $3869.51, Sell on Coinbase @ $3865.23 | Profit: -0.81%
2025-11-02 00:51:32.522 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Coinbase @ $3865.44, Sell on Binance @ $3867.40 | Profit: -0.65%
2025-11-02 00:51:32.522 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Binance @ $3869.51, Sell on Coinbase @ $3865.23 | Profit: -0.81%
2025-11-02 00:51:32.914 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Coinbase @ $109945.53, Sell on Binance @ $109878.38 | Profit: -0.76%
